Wall time,Step,Value
1619607617.8448107,1,3.0563771724700928
1619607758.5532062,130,1.1193456649780273
1619607939.4394076,387,1.0530064105987549
1619608119.524094,732,0.8719581365585327
1619608299.8817165,1076,0.7436378598213196
1619608480.152654,1420,0.7996387481689453
1619608660.273291,1765,0.5418500900268555
1619608840.513677,2101,0.6377772688865662
1619609021.0158184,2438,0.659758448600769
1619609201.1767037,2768,0.42124348878860474
1619609381.4664488,3092,0.5475512742996216
1619609561.6857953,3415,0.5435795187950134
1619609742.0091763,3739,0.35488003492355347
1619609922.1728814,4061,0.35432976484298706
1619610102.40213,4386,0.45214974880218506
1619610282.530424,4704,5.292707443237305
1619610462.7423704,5015,0.3019946217536926
1619610642.961149,5338,0.38769641518592834
1619610823.156167,5656,0.4514417052268982
1619611003.367476,5975,0.32787075638771057
1619611183.757344,6298,0.4783915579319
1619611364.0175626,6621,0.4000054895877838
1619611544.1607711,6937,0.41353341937065125
1619611724.6461086,7258,0.4859083592891693
1619611905.0240393,7582,0.4680546224117279
1619612085.3945863,7906,0.37074893712997437
1619612265.6440907,8222,0.5005966424942017
1619612445.6847544,8543,0.2894064784049988
1619612626.2114613,8864,0.6223020553588867
1619612806.4606454,9187,0.3103135824203491
1619612986.73197,9506,0.2965202331542969
1619613166.9865754,9825,0.2646041810512543
1619613346.9840586,10137,0.2832990884780884
1619613527.418481,10456,0.31088557839393616
1619613707.7018323,10773,0.3473241925239563
1619613887.9227946,11095,0.41600972414016724
1619614068.29158,11416,0.21771693229675293
1619614248.4525335,11739,0.31975024938583374
1619614428.7154438,12060,0.38516122102737427
1619614608.9687207,12384,0.4026038348674774
1619614789.1554782,12701,0.23200684785842896
1619614969.4759161,13022,0.3324388861656189
1619615149.8931952,13345,3.9099905490875244
1619615330.3177507,13664,0.3225365877151489
1619615510.664824,13985,0.20942053198814392
1619615690.7289822,14307,0.40563517808914185
1619615871.2529461,14630,0.27235445380210876
1619616051.3503716,14952,3.715754747390747
